"shape_id","stop_id","stop_sequence","stop_rank","fake_timestamp"
10002005,2850,1,1,00:00:01
10002005,2860,16,2,00:00:02
10002005,2870,23,3,00:00:03
10002005,2880,37,4,00:00:04
10002005,2890,59,5,00:00:05
10002005,2900,73,6,00:00:06
10002005,2910,92,7,00:00:07
10002005,2911,94,8,00:00:08
10002005,2920,96,9,00:00:09
10002005,2930,99,10,00:00:10
10002005,2940,102,11,00:00:11
10002005,2950,108,12,00:00:12
10002005,2960,113,13,00:00:13
10002005,2970,118,14,00:00:14
10002005,2980,122,15,00:00:15
10002005,2995,125,16,00:00:16
10002005,3000,128,17,00:00:17
10002005,3010,134,18,00:00:18
10002005,3030,145,19,00:00:19
10002005,13277,154,20,00:00:20
10002005,3032,164,21,00:00:21
10002005,3033,179,22,00:00:22
10002005,3034,187,23,00:00:23
10002005,3035,193,24,00:00:24
10002005,3036,196,25,00:00:25
10002005,3037,200,26,00:00:26
10002005,1260,203,27,00:00:27
10002005,1250,209,28,00:00:28
10002005,575,215,29,00:00:29
10002005,600,229,30,00:00:30
10002005,605,233,31,00:00:31
10002005,1690,237,32,00:00:32
10002005,20829,246,33,00:00:33
10002005,2330,258,34,00:00:34
10002005,2360,265,35,00:00:35
10002005,2690,268,36,00:00:36
10002005,2710,273,37,00:00:37
10002005,2720,276,38,00:00:38
10002005,2730,285,39,00:00:39
10002005,2740,289,40,00:00:40
10002005,2760,305,41,00:00:41
10002005,2770,312,42,00:00:42
10002005,2780,319,43,00:00:43
10002005,2790,323,44,00:00:44
10002005,2800,326,45,00:00:45
10002005,2810,328,46,00:00:46
10002005,2820,332,47,00:00:47
10002005,2830,336,48,00:00:48
10002005,2840,342,49,00:00:49
10002005,2550,347,50,00:00:50
10002006,2850,1,1,00:00:01
10002006,2860,16,2,00:00:02
10002006,2870,23,3,00:00:03
10002006,2880,37,4,00:00:04
10002006,2890,59,5,00:00:05
10002006,2900,73,6,00:00:06
10002006,2910,92,7,00:00:07
10002006,2911,94,8,00:00:08
10002006,2920,96,9,00:00:09
10002006,2930,99,10,00:00:10
10002006,2940,102,11,00:00:11
10002006,2950,108,12,00:00:12
10002006,2960,113,13,00:00:13
10002006,2970,118,14,00:00:14
10002006,2980,122,15,00:00:15
10002006,2995,125,16,00:00:16
10002006,3000,128,17,00:00:17
10002006,3010,134,18,00:00:18
10002006,3030,145,19,00:00:19
10002006,13277,154,20,00:00:20
10002006,3032,164,21,00:00:21
10002006,3033,179,22,00:00:22
10002006,3034,187,23,00:00:23
10002006,3035,193,24,00:00:24
10002006,3036,196,25,00:00:25
10002006,3037,200,26,00:00:26
10002017,1530,1,1,00:00:01
10002017,1610,10,2,00:00:02
10002017,538,20,3,00:00:03
10002017,558,25,4,00:00:04
10002017,575,29,5,00:00:05
10002017,600,43,6,00:00:06
10002017,605,47,7,00:00:07
10002017,1690,51,8,00:00:08
10002017,20829,60,9,00:00:09
10002017,2330,72,10,00:00:10
10002017,2360,79,11,00:00:11
10002017,2690,82,12,00:00:12
10002017,2710,87,13,00:00:13
10002017,2720,90,14,00:00:14
10002017,2730,99,15,00:00:15
10002017,2740,103,16,00:00:16
10002017,2760,119,17,00:00:17
10002017,2770,126,18,00:00:18
10002017,2780,133,19,00:00:19
10002017,2790,137,20,00:00:20
10002017,2800,140,21,00:00:21
10002017,2810,142,22,00:00:22
10002017,2820,146,23,00:00:23
10002017,2830,150,24,00:00:24
10002017,2840,156,25,00:00:25
10002017,2550,161,26,00:00:26
10002019,2850,1,1,00:00:01
10002019,2860,16,2,00:00:02
10002019,2870,23,3,00:00:03
10002019,2880,37,4,00:00:04
10002019,2890,59,5,00:00:05
10002019,2900,73,6,00:00:06
10002019,2910,92,7,00:00:07
10002019,2911,94,8,00:00:08
10002019,2920,96,9,00:00:09
10002019,2930,99,10,00:00:10
10002019,2940,102,11,00:00:11
10002019,2950,108,12,00:00:12
10002019,2960,113,13,00:00:13
10002019,2970,118,14,00:00:14
10002019,2980,122,15,00:00:15
10002019,2995,125,16,00:00:16
10002019,3000,128,17,00:00:17
10002019,3010,134,18,00:00:18
10002019,3030,145,19,00:00:19
10002019,13277,154,20,00:00:20
10002019,3032,164,21,00:00:21
10002019,3033,179,22,00:00:22
10002019,3034,187,23,00:00:23
10002019,3035,193,24,00:00:24
10002019,3036,196,25,00:00:25
10002019,3037,200,26,00:00:26
10002019,1260,203,27,00:00:27
10002019,1250,209,28,00:00:28
10002019,575,215,29,00:00:29
10003010,1530,1,1,00:00:01
10003010,1610,10,2,00:00:02
10003010,538,20,3,00:00:03
10003010,558,25,4,00:00:04
